Table,Column,Type,Size,Description
InteractionProductIdentifier,Facility_ID,bigint,,Reference to Facility
InteractionProductIdentifier,Identifier,varchar,100,Identifier
InteractionProductIdentifier,IdentifierType,varchar,20,Identifier Type
InteractionProductIdentifier,InteractionProduct_ID,bigint,,Reference to InteractionProduct
InteractionProductIdentifier,InteractionProductIdentifier_ID,bigint,,ID for InteractionProductIdentifier
InteractionProductIdentifier,IsPrimary,bool,,Is Is Primary?
InteractionProductIdentifier,RowVersionNumber,int,,Row Version Number

InterfaceFacility,,,,Interface Facility
InterfaceFacility,ExternalInterface_ID,bigint,,Reference to ExternalInterface
InterfaceFacility,Facility_ID,bigint,,Reference to Facility
InterfaceFacility,InterfaceFacility_ID,bigint,,ID for InterfaceFacility
InterfaceFacility,RowVersionNumber,int,,Row Version Number

InterfaceOutboundAction,,,,Interface Outbound Action
InterfaceOutboundAction,ExternalInterface_ID,bigint,,Reference to ExternalInterface
InterfaceOutboundAction,TransactionLogAction_ID,bigint,,Reference to TransactionLogAction
InterfaceOutboundAction,TransactionTime,datetime,,Transaction Time

InterventionActivity,,,,Intervention Activity
InterventionActivity,Active,bool,,Is Active?
InterventionActivity,Activity,varchar,50,Activity
InterventionActivity,InterventionActivity_ID,bigint,,ID for InterventionActivity
InterventionActivity,InterventionCategory,varchar,20,Intervention Category
InterventionActivity,RecommendationTable,char,4,Recommendation Table
InterventionActivity,RowVersionNumber,int,,Row Version Number

InterventionStatus,,,,Intervention Status
InterventionStatus,Active,bool,,Is Active?
InterventionStatus,Closed,bool,,Is Closed?
InterventionStatus,Code,varchar,50,Code
InterventionStatus,CodingSystem,varchar,10,Coding System
InterventionStatus,Duration,int,,Duration
InterventionStatus,DurationType,int,,Duration Type
InterventionStatus,InterventionActivity_ID,bigint,,Reference to InterventionActivity
InterventionStatus,InterventionStatus_ID,bigint,,ID for InterventionStatus
InterventionStatus,RowVersionNumber,int,,Row Version Number
InterventionStatus,Savings,int,,Savings
InterventionStatus,SavingsType,int,,Savings Type
InterventionStatus,Status,varchar,100,Status

InventoryItem_view,,,,Inventory Item _view
InventoryItem_view,BillCode,varchar,3,Bill Code
InventoryItem_view,DispensableProduct_ID,bigint,,Reference to DispensableProduct
InventoryItem_view,ExternalSystemDescription,varchar,100,External System Description
InventoryItem_view,InventoryItem_ID,bigint,,Reference to InventoryItem
InventoryItem_view,ItemDescription,varchar,100,Item Description
InventoryItem_view,RowVersionNumber,int,,Row Version Number

ItemCostAndPatientDaysTable,,,,Item Cost And Patient Days Table
ItemCostAndPatientDaysTable,Facility,varchar,90,Facility
ItemCostAndPatientDaysTable,Facility_ID,bigint,,Reference to Facility
ItemCostAndPatientDaysTable,ItemDescription,varchar,300,Item Description
ItemCostAndPatientDaysTable,ItemDispenseSize_ID,bigint,,Reference to ItemDispenseSize
ItemCostAndPatientDaysTable,ItemNumber,varchar,20,Item Number
ItemCostAndPatientDaysTable,Location,varchar,200,Location
ItemCostAndPatientDaysTable,Location_ID,bigint,,Reference to Location
ItemCostAndPatientDaysTable,PatientDays,int,,Patient Days
ItemCostAndPatientDaysTable,PatientVisit_ID,bigint,,Reference to PatientVisit
ItemCostAndPatientDaysTable,PCU,varchar,50,PCU
ItemCostAndPatientDaysTable,PCU_ID,bigint,,Reference to PCU
ItemCostAndPatientDaysTable,Quantity,int,,Quantity
ItemCostAndPatientDaysTable,StartDate,datetime,,Start Date
ItemCostAndPatientDaysTable,StopDate,datetime,,Stop Date
ItemCostAndPatientDaysTable,TotalCost,decimal,"10,2",Total Cost
ItemCostAndPatientDaysTable,UnitCost,decimal,"10,2",Unit Cost

ItemDispenseSize,,,,Item Dispense Size
ItemDispenseSize,AlwaysDispenseFromCentral,bool,,Is Always Dispense From Central?
ItemDispenseSize,AWP,decimal,"10,2",AWP
ItemDispenseSize,BillCode,varchar,3,Bill Code
ItemDispenseSize,BillingQuantityConversion,decimal,"10,2",Billing Quantity Conversion
ItemDispenseSize,BillingUnit,varchar,50,Billing Unit
ItemDispenseSize,BillingUnitQualifier,varchar,20,Billing Unit Qualifier
ItemDispenseSize,Charge,decimal,"10,2",Charge
ItemDispenseSize,ChargeFormulaAddedFee,decimal,"10,2",Charge Formula Added Fee
ItemDispenseSize,ChargeFormulaCostMultiplier,decimal,"10,3",Charge Formula Cost Multiplier
ItemDispenseSize,Cost,decimal,"10,2",Cost
ItemDispenseSize,DefaultComments,varchar,,Default Comments
ItemDispenseSize,DispensableProduct_ID,bigint,,Reference to DispensableProduct
ItemDispenseSize,DispenseSize,decimal,"15,5",Dispense Size
ItemDispenseSize,ExpirationHours,decimal,"8,2",Expiration Hours
ItemDispenseSize,ExternalItemDescription,varchar,100,External Item Description
ItemDispenseSize,ExternalSystemDescription,varchar,100,External System Description
ItemDispenseSize,FormularyStatus,varchar,20,Formulary Status
ItemDispenseSize,HCPCSCode,varchar,20,HCPCS Code
ItemDispenseSize,Indications,varchar,,Indications
ItemDispenseSize,InventoryItem_ID,bigint,,Reference to InventoryItem
ItemDispenseSize,IsBulk,bool,,Is Is Bulk?
ItemDispenseSize,ItemDescription,varchar,100,Item Description
ItemDispenseSize,ItemDispenseSize_ID,bigint,,ID for ItemDispenseSize
ItemDispenseSize,ItemNumber,varchar,20,Item Number
ItemDispenseSize,JWModifier,varchar,20,JW Modifier
ItemDispenseSize,MEDICS_ItemNumber,varchar,8,MEDICS _Item Number
ItemDispenseSize,Mnemonic,varchar,20,Mnemonic
ItemDispenseSize,NDC,varchar,20,NDC
ItemDispenseSize,NDCList,varchar,600,NDC List
ItemDispenseSize,PharmacyComments,varchar,,Pharmacy Comments
ItemDispenseSize,RowVersionNumber,int,,Row Version Number
ItemDispenseSize,SideEffects,varchar,,Side Effects
ItemDispenseSize,UseOrderComponentDescription,bool,,Is Use Order Component Description?

ItemProduct,,,,Item Product
ItemProduct,InventoryItem_ID,bigint,,Reference to InventoryItem
ItemProduct,ItemProduct_ID,bigint,,ID for ItemProduct
ItemProduct,PackageCost,decimal,"12,4",Package Cost
ItemProduct,PackagedProduct_ID,bigint,,Reference to PackagedProduct
ItemProduct,RowVersionNumber,int,,Row Version Number

LocationAttribute,,,,Location Attribute
LocationAttribute,Attribute,varchar,20,Attribute
LocationAttribute,CanHaveAttributeCount,int,,Can Have Attribute Count
LocationAttribute,HasAttributeCount,int,,Has Attribute Count
LocationAttribute,Location_ID,bigint,,Reference to Location
LocationAttribute,LocationAttribute_ID,bigint,,ID for LocationAttribute
LocationAttribute,RowVersionNumber,int,,Row Version Number

LocationDepartment,,,,Location Department
LocationDepartment,Active,bool,,Is Active?
LocationDepartment,Department_ID,bigint,,Reference to Department
LocationDepartment,Location_ID,bigint,,Reference to Location
LocationDepartment,RowVersionNumber,int,,Row Version Number

LogLine,,,,Log Line
LogLine,ImageBytes,varbinary,,Image Bytes
LogLine,LineNumber,int,,Line Number
LogLine,LineText,varchar,,Line Text
LogLine,LogLine_ID,bigint,,ID for LogLine
LogLine,LogTime,datetime,,Log Time
LogLine,RowVersionNumber,int,,Row Version Number
LogLine,TextLog_ID,bigint,,Reference to TextLog

Machine,,,,Machine
Machine,BedBoardAdminBold,bool,,Is Bed Board Admin Bold?
Machine,BedBoardAdminColumnWidths,varchar,,Bed Board Admin Column Widths
Machine,BedBoardAdminListWidth,int,,Bed Board Admin List Width
Machine,BedboardAdminPatientDisplay_ID,bigint,,Reference to BedboardAdminPatientDisplay
Machine,BedBoardBold,bool,,Is Bed Board Bold?
Machine,BedBoardColumnWidths,varchar,,Bed Board Column Widths
Machine,BedBoardListWidth,int,,Bed Board List Width
Machine,BedBoardMode,int,,Bed Board Mode
Machine,BedBoardPatientDisplay_ID,bigint,,Reference to BedBoardPatientDisplay
Machine,BedBoardScalingFactor,decimal,"5,2",Bed Board Scaling Factor
Machine,BedBoardSortAscending,bool,,Is Bed Board Sort Ascending?
Machine,BedBoardSortColumn,varchar,100,Bed Board Sort Column
Machine,BedBoardStaffListPosition,int,,Bed Board Staff List Position
Machine,BedBoardStaffListWidth,int,,Bed Board Staff List Width
Machine,CameraRotation,int,,Camera Rotation
Machine,DefaultCameraName,varchar,100,Default Camera Name
Machine,LastLogInTime,datetime,,Last Log In Time
Machine,Machine_ID,bigint,,ID for Machine
Machine,MachineInfo,varchar,,Machine Info
Machine,MachineName,varchar,30,Machine Name
Machine,MultiPatientDisplayMode,int,,Multi Patient Display Mode
Machine,PatientSet_ID,bigint,,Reference to PatientSet
Machine,PCU_ID,bigint,,Reference to PCU
Machine,PrinterNames,varchar,,Printer Names
Machine,PrinterServer,bool,,Is Printer Server?
Machine,RowVersionNumber,int,,Row Version Number
Machine,TouchMode,bool,,Is Touch Mode?

MailMessage,,,,Mail Message
MailMessage,FromAddress,varchar,1000,From Address
MailMessage,FromStaff_ID,bigint,,Reference to FromStaff
MailMessage,MailMessage_ID,bigint,,ID for MailMessage
MailMessage,MessageStatus,varchar,10,Message Status
MailMessage,MessageSubject,varchar,300,Message Subject
MailMessage,MessageText,varchar,,Message Text
MailMessage,MessageTime,datetime,,Message Time
MailMessage,MessageType,varchar,20,Message Type
MailMessage,PatientVisit_ID,bigint,,Reference to PatientVisit
MailMessage,ReadByPatientDateTime,datetime,,Read By Patient Date Time
MailMessage,RowVersionNumber,int,,Row Version Number
MailMessage,ToAddresses,varchar,1000,To Addresses
MailMessage,ToStaff_ID,bigint,,Reference to ToStaff

Measure,,,,Measure
Measure,EMeasureVersionNumber,varchar,20,E Measure Version Number
Measure,Measure_ID,bigint,,ID for Measure
Measure,MeasureDescription,varchar,,Measure Description
Measure,MeasureName,varchar,100,Measure Name
Measure,MeasureScoringType,varchar,20,Measure Scoring Type
Measure,MeasureSet,varchar,100,Measure Set
Measure,NQFNumber,varchar,10,NQF Number
Measure,RowVersionNumber,int,,Row Version Number
Measure,VersionNeutralID,varchar,50,Version Neutral ID
Measure,VersionSpecificID,varchar,50,Version Specific ID

MeasureItem,,,,Measure Item
MeasureItem,ContinuousVariable,bool,,Is Continuous Variable?
MeasureItem,Identifier,varchar,50,Identifier
MeasureItem,Measure_ID,bigint,,Reference to Measure
MeasureItem,MeasureItem_ID,bigint,,ID for MeasureItem
MeasureItem,Metric_ID,bigint,,Reference to Metric
MeasureItem,MetricReportType,varchar,20,Metric Report Type
MeasureItem,PopulationName,varchar,100,Population Name
MeasureItem,RowVersionNumber,int,,Row Version Number
MeasureItem,Stratum,varchar,100,Stratum

MedRecDataSource,,,,Med Rec Data Source
MedRecDataSource,BilledTime,datetime,,Billed Time
MedRecDataSource,DataSource,varchar,10,Data Source
MedRecDataSource,MedRecDataSource_ID,bigint,,ID for MedRecDataSource
MedRecDataSource,PatientFound,bool,,Is Patient Found?
MedRecDataSource,RowVersionNumber,int,,Row Version Number
MedRecDataSource,VisitMedRecQuery_ID,bigint,,Reference to VisitMedRecQuery

MedRecItem,,,,Med Rec Item
MedRecItem,Comments,varchar,,Comments
MedRecItem,DataSource,varchar,20,Data Source
MedRecItem,DateWritten,datetime,,Date Written
MedRecItem,DaysSupply,int,,Days Supply
MedRecItem,DispenseAmount,decimal,"15,5",Dispense Amount
MedRecItem,DispenseDateTime,datetime,,Dispense Date Time
MedRecItem,DispenseUnits,varchar,30,Dispense Units
MedRecItem,DoseAmount,decimal,"15,5",Dose Amount
MedRecItem,DoseUnits,varchar,30,Dose Units
MedRecItem,Form,varchar,30,Form
MedRecItem,Indication,varchar,200,Indication
MedRecItem,ItemCode,varchar,15,Item Code
MedRecItem,ItemCodingSystem,varchar,10,Item Coding System
MedRecItem,ItemText,varchar,100,Item Text
MedRecItem,MedRecItem_ID,bigint,,ID for MedRecItem
MedRecItem,OnHold,bool,,Is On Hold?
MedRecItem,OriginalRefills,int,,Original Refills
MedRecItem,PharmacyStaff_ID,bigint,,Reference to PharmacyStaff
MedRecItem,PrescribingStaff_ID,bigint,,Reference to PrescribingStaff
MedRecItem,PriorPatientVisit_ID,bigint,,Reference to PriorPatientVisit
MedRecItem,PRN,bool,,Is PRN?
MedRecItem,RouteCode,varchar,20,Route Code
MedRecItem,RowVersionNumber,int,,Row Version Number
MedRecItem,RxNumber,varchar,30,Rx Number
MedRecItem,Sig,varchar,200,Sig
MedRecItem,Strength,varchar,50,Strength
MedRecItem,SubSourceDescription,varchar,100,Sub Source Description
MedRecItem,SubSourceType,varchar,20,Sub Source Type
MedRecItem,VisitMedRecQuery_ID,bigint,,Reference to VisitMedRecQuery

MedRecWarning,,,,Med Rec Warning
MedRecWarning,Item1Code,varchar,15,Item1 Code
MedRecWarning,Item1CodingSystem,varchar,10,Item1 Coding System
MedRecWarning,Item1Text,varchar,100,Item1 Text
MedRecWarning,Item2Code,varchar,15,Item2 Code
MedRecWarning,Item2CodingSystem,varchar,10,Item2 Coding System
MedRecWarning,Item2Text,varchar,100,Item2 Text
MedRecWarning,MedRecWarning_ID,bigint,,ID for MedRecWarning
MedRecWarning,RowVersionNumber,int,,Row Version Number
MedRecWarning,VisitMedRecQuery_ID,bigint,,Reference to VisitMedRecQuery
MedRecWarning,WarningSeverity,varchar,20,Warning Severity
MedRecWarning,WarningText,varchar,,Warning Text
MedRecWarning,WarningType,varchar,20,Warning Type

MenuItem,,,,Menu Item
MenuItem,BuiltInMenuItemName,varchar,50,Built In Menu Item Name
MenuItem,ButtonColorCondition_ID,bigint,,Reference to ButtonColorCondition
MenuItem,ButtonImage,varbinary,,Button Image
MenuItem,Display,bool,,Is Display?
MenuItem,DisplayForEventCondition_ID,bigint,,Reference to DisplayForEventCondition
MenuItem,DisplayForPatientCondition_ID,bigint,,Reference to DisplayForPatientCondition
MenuItem,DisplayForStaffCondition_ID,bigint,,Reference to DisplayForStaffCondition
MenuItem,DisplayOnWebPage,bool,,Is Display On Web Page?
MenuItem,DisplayText,varchar,50,Display Text
MenuItem,MenuEffectType,int,,Menu Effect Type
MenuItem,MenuItem_ID,bigint,,ID for MenuItem
MenuItem,MenuItemOrder,int,,Menu Item Order
MenuItem,MenuType,int,,Menu Type
MenuItem,RowVersionNumber,int,,Row Version Number
MenuItem,Rule_ID,bigint,,Reference to Rule
MenuItem,ShowToolStripButton,bool,,Is Show Tool Strip Button?
MenuItem,TabNumber,int,,Tab Number
MenuItem,TriggerOnEachItemCondition_ID,bigint,,Reference to TriggerOnEachItemCondition
MenuItem,TriggerRuleOnSelectedItem,bool,,Is Trigger Rule On Selected Item?

MessageAttachment,,,,Message Attachment
MessageAttachment,FileBytes,varbinary,,File Bytes
MessageAttachment,FileName,varchar,200,File Name
MessageAttachment,MailMessage_ID,bigint,,Reference to MailMessage
MessageAttachment,MessageAttachment_ID,bigint,,ID for MessageAttachment
MessageAttachment,RowVersionNumber,int,,Row Version Number

Metric,,,,Metric
Metric,Category,varchar,100,Category
Metric,ConvertConditionsToSQL,bool,,Is Convert Conditions To SQL?
Metric,CountType,varchar,20,Count Type
Metric,DisplayFormula,varchar,100,Display Formula
Metric,ListTableCode,char,4,List Table Code
Metric,Metric_ID,bigint,,ID for Metric
Metric,MetricCode,varchar,30,Metric Code
Metric,MetricDescription,varchar,2000,Metric Description
Metric,MetricFormula,varchar,2000,Metric Formula
Metric,MetricName,varchar,100,Metric Name
Metric,MetricType,varchar,20,Metric Type
Metric,Observation_ID,bigint,,Reference to Observation
Metric,PQRIMeasureNumber,varchar,10,PQRI Measure Number
Metric,PQRIMeasureTag,varchar,50,PQRI Measure Tag
Metric,RecordSupplementalValues,bool,,Is Record Supplemental Values?
Metric,RowVersionNumber,int,,Row Version Number
Metric,ShowOnReports,bool,,Is Show On Reports?
Metric,SQLText,varchar,,SQL Text

MetricCondition,,,,Metric Condition
MetricCondition,Condition_ID,bigint,,Reference to Condition
MetricCondition,Metric_ID,bigint,,Reference to Metric
MetricCondition,MetricCondition_ID,bigint,,ID for MetricCondition
MetricCondition,NotCondition,bool,,Is Not Condition?
MetricCondition,RowVersionNumber,int,,Row Version Number

MetricValue,,,,Metric Value
MetricValue,BeginDateTime,datetime,,Begin Date Time
MetricValue,Condition_ID,bigint,,Reference to Condition
MetricValue,DisplayFormula,varchar,100,Display Formula
MetricValue,EndDateTime,datetime,,End Date Time
MetricValue,Facility_ID,bigint,,Reference to Facility
MetricValue,Metric_ID,bigint,,Reference to Metric
MetricValue,MetricTextValue,varchar,,Metric Text Value
MetricValue,MetricValue,decimal,"15,4",Metric Value
MetricValue,MetricValue_ID,bigint,,ID for MetricValue
MetricValue,RowVersionNumber,int,,Row Version Number

MetricValueSupplementalData,,,,Metric Value Supplemental Data
MetricValueSupplementalData,MetricValue,decimal,"15,4",Metric Value
MetricValueSupplementalData,MetricValue_ID,bigint,,Reference to MetricValue
MetricValueSupplementalData,MetricValueSupplementalData_ID,bigint,,ID for MetricValueSupplementalData
MetricValueSupplementalData,RowVersionNumber,int,,Row Version Number
MetricValueSupplementalData,SupplementalData,varchar,20,Supplemental Data
MetricValueSupplementalData,SupplementalDataType,varchar,20,Supplemental Data Type

MetricValueVisit,,,,Metric Value Visit
MetricValueVisit,MetricValue,decimal,"15,4",Metric Value
MetricValueVisit,MetricValue_ID,bigint,,Reference to MetricValue
MetricValueVisit,PatientVisit_ID,bigint,,Reference to PatientVisit

NamedImage,,,,Named Image
NamedImage,DateModified,datetime,,Date Modified
NamedImage,DocumentType,varchar,20,Document Type
NamedImage,Fields,varchar,2000,Fields
NamedImage,FileType,varchar,20,File Type
NamedImage,ImageBytes,varbinary,,Image Bytes
NamedImage,ImageDescription,varchar,200,Image Description
NamedImage,ImageName,varchar,200,Image Name
NamedImage,IsFacilityDocument,bool,,Is Is Facility Document?
NamedImage,NamedImage_ID,bigint,,ID for NamedImage
NamedImage,RowVersionNumber,int,,Row Version Number
NamedImage,Version,varchar,20,Version

NamedProduct,,,,Named Product
NamedProduct,AHFSCode,char,8,AHFS Code
NamedProduct,Aliases,varchar,2000,Aliases
NamedProduct,DisplayBrandName,varchar,80,Display Brand Name
NamedProduct,Equivalency,varchar,100,Equivalency
NamedProduct,GenericName,varchar,300,Generic Name
NamedProduct,Indications,varchar,,Indications
NamedProduct,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
NamedProduct,MergedToNamedProduct_ID,bigint,,Reference to MergedToNamedProduct
NamedProduct,NamedProduct_ID,bigint,,ID for NamedProduct
NamedProduct,PreferredRxNormCode,varchar,30,Preferred Rx Norm Code
NamedProduct,PregnancyHazardClassification,varchar,20,Pregnancy Hazard Classification
NamedProduct,RowVersionNumber,int,,Row Version Number
NamedProduct,SideEffects,varchar,,Side Effects

NamedProductField,,,,Named Product Field
NamedProductField,FieldValue,varchar,1000,Field Value
NamedProductField,NamedProduct_ID,bigint,,Reference to NamedProduct
NamedProductField,NamedProductField_ID,bigint,,ID for NamedProductField
NamedProductField,RowVersionNumber,int,,Row Version Number
NamedProductField,UserDefinedField_ID,bigint,,Reference to UserDefinedField

NamedProductIdentifier,,,,Named Product Identifier
NamedProductIdentifier,ClinicalDatabaseName,varchar,20,Clinical Database Name
NamedProductIdentifier,Facility_ID,bigint,,Reference to Facility
NamedProductIdentifier,Identifier,varchar,100,Identifier
NamedProductIdentifier,IdentifierType,varchar,20,Identifier Type
NamedProductIdentifier,IsPrimary,bool,,Is Is Primary?
NamedProductIdentifier,NamedProduct_ID,bigint,,Reference to NamedProduct
NamedProductIdentifier,NamedProductIdentifier_ID,bigint,,ID for NamedProductIdentifier
NamedProductIdentifier,RowVersionNumber,int,,Row Version Number

NearMiss,,,,Near Miss
NearMiss,ActionCode,varchar,5,Action Code
NearMiss,GiveCode,varchar,15,Give Code
NearMiss,GiveCodingSystem,varchar,10,Give Coding System
NearMiss,GiveText,varchar,100,Give Text
NearMiss,Location_ID,bigint,,Reference to Location
NearMiss,NearMiss_ID,bigint,,ID for NearMiss
NearMiss,NearMissTime,datetime,,Near Miss Time
NearMiss,NearMissType,varchar,10,Near Miss Type
NearMiss,PatientVisit_ID,bigint,,Reference to PatientVisit
NearMiss,RowVersionNumber,int,,Row Version Number
NearMiss,Staff_ID,bigint,,Reference to Staff

Observation,,,,Observation
Observation,AboveMaximumValueWarningText,varchar,200,Above Maximum Value Warning Text
Observation,AboveReferenceRangeMessage,varchar,200,Above Reference Range Message
Observation,AllowContinueOnInvalid,bool,,Is Allow Continue On Invalid?
Observation,AllowedOnDataEntry,bool,,Is Allowed On Data Entry?
Observation,AllowFreeText,bool,,Is Allow Free Text?
Observation,AllowImageMarkup,bool,,Is Allow Image Markup?
Observation,AllowMultiSelect,bool,,Is Allow Multi Select?
Observation,AllowNotes,bool,,Is Allow Notes?
Observation,BaseImage,varbinary,,Base Image
Observation,BelowMinimumValueWarningText,varchar,200,Below Minimum Value Warning Text
Observation,BelowReferenceRangeMessage,varchar,200,Below Reference Range Message
Observation,ButtonTextChecked,varchar,100,Button Text Checked
Observation,ButtonTextUnchecked,varchar,100,Button Text Unchecked
Observation,Category,varchar,50,Category
Observation,CharactersToHide,int,,Characters To Hide
Observation,DataEntryUnitsOfMeasure,varchar,30,Data Entry Units Of Measure
Observation,DateDefaultOffsetHours,decimal,"10,2",Date Default Offset Hours
Observation,DateDefaultType,int,,Date Default Type
Observation,DateModified,datetime,,Date Modified
Observation,DecimalPlaces,int,,Decimal Places
Observation,DefaultSetObservation_ID,bigint,,Reference to DefaultSetObservation
Observation,DefaultValue,varchar,200,Default Value
Observation,DefaultValueCondition_ID,bigint,,Reference to DefaultValueCondition
Observation,DisplayGroupName,varchar,20,Display Group Name
Observation,DocumentPath,varchar,,Document Path
Observation,DocumentType,varchar,20,Document Type
Observation,EvaluateFormulaCondition_ID,bigint,,Reference to EvaluateFormulaCondition
Observation,EvaluateFormulaOnlyOnAdd,bool,,Is Evaluate Formula Only On Add?
Observation,EventAfterHours,decimal,"10,2",Event After Hours
Observation,EventBeforeHours,decimal,"10,2",Event Before Hours
Observation,EventCondition_ID,bigint,,Reference to EventCondition
Observation,FormatMask,varchar,30,Format Mask
Observation,FormatMaskForWeb,varchar,30,Format Mask For Web
Observation,GoalForObservation_ID,bigint,,Reference to GoalForObservation
Observation,GoalType,int,,Goal Type
Observation,ImageDisplayHeight,int,,Image Display Height
Observation,Instructions,varchar,,Instructions
Observation,IsPatientIdentificationImage,bool,,Is Is Patient Identification Image?
Observation,IsProblemSpecific,bool,,Is Is Problem Specific?
Observation,KeepInSyncWithClinicalDatabase,bool,,Is Keep In Sync With Clinical Database?
Observation,LastValueToShowCondition_ID,bigint,,Reference to LastValueToShowCondition
Observation,LimitToSpecificSigningStaff,bool,,Is Limit To Specific Signing Staff?
Observation,ListColumns,int,,List Columns
Observation,ListColumnWidth,int,,List Column Width
Observation,LockCheckedOnObservationCondition_ID,bigint,,Reference to LockCheckedOnObservationCondition
Observation,LockCheckedOnStaffCondition_ID,bigint,,Reference to LockCheckedOnStaffCondition
Observation,MaximumValue,decimal,"20,5",Maximum Value
Observation,MaxValueLength,int,,Max Value Length
Observation,MinimumValue,decimal,"20,5",Minimum Value
Observation,MultiLine,bool,,Is Multi Line?
Observation,MultSelectMinimumItems,int,,Mult Select Minimum Items
Observation,NotesLabel,varchar,100,Notes Label
Observation,NotesRequiredCondition_ID,bigint,,Reference to NotesRequiredCondition
Observation,Observation_ID,bigint,,ID for Observation
Observation,ObservationDescription,varchar,300,Observation Description
Observation,ObservationFormula,varchar,,Observation Formula
Observation,ObservationSiteTable,char,4,Observation Site Table
Observation,PasteNotAllowed,varchar,50,Paste Not Allowed
Observation,PatientField,varchar,50,Patient Field
Observation,RecomputeFormulaForDisplay,bool,,Is Recompute Formula For Display?
Observation,ReferencesRange,varchar,200,References Range
Observation,ReferencesRangeCondition_ID,bigint,,Reference to ReferencesRangeCondition
Observation,RelatedToObservation_ID,bigint,,Reference to RelatedToObservation
Observation,RelationshipType,int,,Relationship Type
Observation,ReportFieldNumber,int,,Report Field Number
Observation,RequireCameraForImage,bool,,Is Require Camera For Image?
Observation,RequireUserToEnterEachDatePart,bool,,Is Require User To Enter Each Date Part?
Observation,RowVersionNumber,int,,Row Version Number
Observation,ShowAsRadioButtons,bool,,Is Show As Radio Buttons?
Observation,ShowBooleanAsButton,bool,,Is Show Boolean As Button?
Observation,ShowCalendar,bool,,Is Show Calendar?
Observation,ShowMultiSelectAsCheckBoxes,bool,,Is Show Multi Select As Check Boxes?
Observation,ShowNotesCondition_ID,bigint,,Reference to ShowNotesCondition
Observation,ShowRelativeDateText,bool,,Is Show Relative Date Text?
Observation,SignatureImageRequired,bool,,Is Signature Image Required?
Observation,SignatureType,varchar,3,Signature Type
Observation,SigningStaffCondition_ID,bigint,,Reference to SigningStaffCondition
Observation,SpecificSigningStaff_ID,bigint,,Reference to SpecificSigningStaff
Observation,SpecimenRelated,bool,,Is Specimen Related?
Observation,SpellChecking,bool,,Is Spell Checking?
Observation,StaffSearchCondition_ID,bigint,,Reference to StaffSearchCondition
Observation,StampsTable,char,4,Stamps Table
Observation,TextToNumericConversionType,int,,Text To Numeric Conversion Type
Observation,UnitsOfMeasure,varchar,30,Units Of Measure
Observation,ValidationCondition_ID,bigint,,Reference to ValidationCondition
Observation,ValidationMessage,varchar,1000,Validation Message
Observation,ValueOptionsTable,char,4,Value Options Table
Observation,ValueType,varchar,3,Value Type

ObservationCategory,,,,Observation Category
ObservationCategory,Category,varchar,50,Category
ObservationCategory,Observation_ID,bigint,,Reference to Observation
ObservationCategory,ObservationCategory_ID,bigint,,ID for ObservationCategory
ObservationCategory,RowVersionNumber,int,,Row Version Number

ObservationGroup,,,,Observation Group
ObservationGroup,AccountingTabOrder,int,,Accounting Tab Order
ObservationGroup,Active,bool,,Is Active?
ObservationGroup,AllowArchiving,bool,,Is Allow Archiving?
ObservationGroup,AllowKioskMode,bool,,Is Allow Kiosk Mode?
ObservationGroup,AllowOnlyOnePerVisit,bool,,Is Allow Only One Per Visit?
ObservationGroup,AllowPartialSave,bool,,Is Allow Partial Save?
ObservationGroup,AllowSetTime,bool,,Is Allow Set Time?
ObservationGroup,AssessmentTabOrder,int,,Assessment Tab Order
ObservationGroup,BufferMinutes,int,,Buffer Minutes
ObservationGroup,Category,varchar,100,Category
ObservationGroup,DateModified,datetime,,Date Modified
ObservationGroup,Description,varchar,2000,Description
ObservationGroup,DisplayGroupingOrder,int,,Display Grouping Order
ObservationGroup,DisplayName,varchar,100,Display Name
ObservationGroup,DocumentationTabOrder,int,,Documentation Tab Order
ObservationGroup,GroupName,varchar,100,Group Name
ObservationGroup,HistoryObservationsCondition_ID,bigint,,Reference to HistoryObservationsCondition
ObservationGroup,Instructions,varchar,,Instructions
ObservationGroup,IntervalCondition_ID,bigint,,Reference to IntervalCondition
ObservationGroup,IsMeasure,bool,,Is Is Measure?
ObservationGroup,IsProblemSpecific,bool,,Is Is Problem Specific?
ObservationGroup,IsTable,bool,,Is Is Table?
ObservationGroup,ObservationGroup_ID,bigint,,ID for ObservationGroup
ObservationGroup,ObservationGroupIdentifier,varchar,60,Observation Group Identifier
ObservationGroup,PatientDetailsReportFile,varchar,200,Patient Details Report File
ObservationGroup,PatientDisplayText,varchar,200,Patient Display Text
ObservationGroup,RequiredForPatientBaseDateField,int,,Required For Patient Base Date Field
ObservationGroup,RequiredForPatientCondition_ID,bigint,,Reference to RequiredForPatientCondition
ObservationGroup,RequiredForPatientHours,decimal,"10,2",Required For Patient Hours
ObservationGroup,RequiredForPatientInitialHours,decimal,"10,2",Required For Patient Initial Hours
ObservationGroup,RequiredFrequencyCondition_ID,bigint,,Reference to RequiredFrequencyCondition
ObservationGroup,ResponsibleStaffCondition_ID,bigint,,Reference to ResponsibleStaffCondition
ObservationGroup,ReviewIntervalCondition_ID,bigint,,Reference to ReviewIntervalCondition
